Data,MSCI World Equal Weighted
06/2013,33752.46557349944
07/2013,34934.76417571435
08/2013,34426.823009876316
09/2013,35824.41995806385
10/2013,36573.2888867917
11/2013,36929.43781094532
12/2013,37140.75823519882
01/2014,36791.80356839979
02/2014,37812.498744215896
03/2014,37888.05606570816
04/2014,37925.48103990184
05/2014,39398.925253780384
06/2014,40170.29024576012
07/2014,40297.3483104082
08/2014,41489.67795352634
09/2014,41729.2588113602
10/2014,42032.51101045505
11/2014,42790.12313384112
12/2014,43427.96857449344
01/2015,46389.79817730186
02/2015,49364.416038112126
03/2015,50987.44919055869
04/2015,50319.75482897027
05/2015,51361.41888519774
06/2015,49082.02093121497
07/2015,50462.0422763937
08/2015,46295.134218226776
09/2015,44211.84497322992
10/2015,48436.293140456866
11/2015,50066.07034485286
12/2015,47698.183600410746
01/2016,44370.09413833695
02/2016,44707.07903044929
03/2016,46125.27489827977
04/2016,47334.98466133961
05/2016,48183.912271799796
06/2016,47427.22746151197
07/2016,49860.11826279847
08/2016,49765.505430699086
09/2016,50177.75882129411
10/2016,50183.60397577082
11/2016,52104.60716195637
12/2016,53616.8193935699
01/2017,54198.74924204698
02/2017,56090.4666681171
03/2017,56317.363491396
04/2017,56095.97588880797
05/2017,55926.82170712119
06/2017,55423.35140450527
07/2017,55201.83511264917
08/2017,54614.50018360766
09/2017,55928.75194842673
10/2017,57580.094224627755
11/2017,57845.12941491755
12/2017,58122.50365983255
01/2018,58503.92854811982
02/2018,57188.52820394121
03/2018,55990.06292252378
04/2018,57855.00215740883
05/2018,59643.266272427354
06/2018,59409.184800112074
07/2018,60300.0908368492
08/2018,60752.34595588394
09/2018,61367.571518704855
10/2018,57602.08930557558
11/2018,57993.17920296232
12/2018,53429.28908370153
01/2019,57764.89703925532
02/2019,59655.936399936196
03/2019,60773.811562393974
04/2019,62657.85082389188
05/2019,59276.35480400015
06/2019,61714.07748762987
07/2019,62740.25222633658
08/2019,61610.94930408266
09/2019,64348.58890083861
10/2019,64671.7613299312
11/2019,67167.46321344873
12/2019,67447.76147607263
01/2020,67201.28412679397
02/2020,61448.3466270903
03/2020,51256.23492251224
04/2020,56903.0146855098
05/2020,58639.30082215364
06/2020,59438.12101794549
07/2020,57899.95397206547
08/2020,60747.458686327445
09/2020,60461.866208817955
10/2020,59227.3932349086
11/2020,66494.69728604174
12/2020,67676.05784267241
01/2021,67973.6246169321
02/2021,70298.88928263888
03/2021,75173.9310582212
04/2021,75433.18388344542
05/2021,76309.92406878703
06/2021,78333.9730159756
07/2021,78846.46275126739
08/2021,80853.58479421007
09/2021,79989.82968873317
10/2021,82062.60697017777
11/2021,80562.81054845493
12/2021,84230.15758497057
01/2022,81024.0542051751
02/2022,79888.18885228994
03/2022,81446.4109601097
04/2022,79425.44172175207
05/2022,78380.32636928202
06/2022,73322.17414819494
07/2022,79749.56188106965
08/2022,78087.47841710034
09/2022,72151.8266404698
10/2022,75337.88912896518
11/2022,78227.9862446706
12/2022,74411.8198491454
01/2023,79226.88911960665
02/2023,78633.86563997583
03/2023,77325.75879612846
04/2023,77570.2090526554
05/2023,76828.64881425962
06/2023,79643.83591483613
07/2023,81884.4284693177
08/2023,79973.56151805157
09/2023,78560.44481332316
10/2023,74624.18588028403
11/2023,79468.37621931706
12/2023,83823.93108630949
01/2024,84669.9275347617
02/2024,86644.00372221885
03/2024,89943.55062507548
04/2024,87379.91644577241
05/2024,89053.96856474267
06/2024,88842.01997061256
07/2024,91576.1955922935
08/2024,92164.45802105387
09/2024,93438.49892053311
10/2024,92603.7073198613
11/2024,98744.85177216335
12/2024,96004.06789153308
01/2025,99791.44719975872
02/2025,100017.30293212726
03/2025,94675.45420355196
04/2025,92238.86234657874
05/2025,96628.34520811656
06/2025,96431.24469372146
07/2025,98721.37778124886
08/2025,100205.60932617098
