Data,FTSE EMU Government Bond
04/2014,18138.03202632993
05/2014,18315.867812374643
06/2014,18514.32060643908
07/2014,18687.594466705887
08/2014,19041.16169838057
09/2014,19056.341693309754
10/2014,19106.16049683516
11/2014,19371.327064844932
12/2014,19584.057942126023
01/2015,20032.895369913218
02/2015,20178.64730445342
03/2015,20428.54552447949
04/2015,20137.63404765087
05/2015,19831.7371438005
06/2015,19322.46309188199
07/2015,19771.14131223019
08/2015,19611.80963862319
09/2015,19814.506124316504
10/2015,20024.522848758992
11/2015,20108.582591754428
12/2015,19907.6101782427
01/2016,20297.20429926803
02/2016,20492.881121091465
03/2016,20590.847749148466
04/2016,20355.528128366008
05/2016,20566.78268460894
06/2016,21043.875689907312
07/2016,21213.64841966818
08/2016,21143.0269112602
09/2016,21185.00364259901
10/2016,20732.497261044005
11/2016,20413.46269064144
12/2016,20544.87456084707
01/2017,20120.685768481737
02/2017,20358.295172065747
03/2017,20235.00818666504
04/2017,20339.083916021922
05/2017,20455.872969776112
06/2017,20343.67250653689
07/2017,20389.03543780214
08/2017,20560.523333172052
09/2017,20461.77874699646
10/2017,20689.49501802276
11/2017,20752.362945164325
12/2017,20576.472142549996
01/2018,20498.68052620315
02/2018,20542.920573527994
03/2018,20869.195769258316
04/2018,20788.866895671115
05/2018,20533.381076513422
06/2018,20688.053492149906
07/2018,20611.314054048264
08/2018,20493.43774286002
09/2018,20457.33137957276
10/2018,20450.479605573797
11/2018,20563.961975467475
12/2018,20756.721151999194
01/2019,20981.502327504964
02/2019,20895.939551198375
03/2019,21279.15060454659
04/2019,21265.12892104723
05/2019,21499.20185052761
06/2019,21993.84409212757
07/2019,22369.75253824349
08/2019,22927.050630623802
09/2019,22837.83666193941
10/2019,22581.767418367417
11/2019,22381.71441171973
12/2019,22150.939016409073
01/2020,22715.583951179167
02/2020,22824.265753970227
03/2020,22210.279538871633
04/2020,22357.074605736285
05/2020,22371.1935454913
06/2020,22610.915873030914
07/2020,22855.907407606792
08/2020,22664.615804795125
09/2020,22988.115118854024
10/2020,23210.08491022441
11/2020,23231.44468716559
12/2020,23265.093343964927
01/2021,23127.82882793367
02/2021,22674.456080924283
03/2021,22718.55472357783
04/2021,22464.103275704998
05/2021,22460.52272228388
06/2021,22564.05023427293
07/2021,22984.499269437274
08/2021,22844.962442977456
09/2021,22569.929427180577
10/2021,22421.180501696388
11/2021,22820.420113334578
12/2021,22440.966503569874
01/2022,22209.271827578123
02/2022,21783.942506993608
03/2022,21266.24297436583
04/2022,20453.547544552406
05/2022,20076.75515518332
06/2022,19697.823266103565
07/2022,20517.29092775061
08/2022,19448.039902448534
09/2022,18703.68484530062
10/2022,18737.156772662922
11/2022,19188.3988475582
12/2022,18285.852743712487
01/2023,18750.06453294694
02/2023,18312.808715523774
03/2023,18754.926981834917
04/2023,18738.076055040277
05/2023,18815.460936293905
06/2023,18762.58328196081
07/2023,18730.384625164806
08/2023,18793.579819067036
09/2023,18288.5758443267
10/2023,18361.221908181295
11/2023,18916.858005221315
12/2023,19594.676078655342
01/2024,19510.97879141269
02/2024,19279.64648115273
03/2024,19479.7790442468
04/2024,19201.351056007155
05/2024,19176.958811706667
06/2024,19214.7362699482
07/2024,19651.72683312541
08/2024,19728.156918676606
09/2024,19985.826376191442
10/2024,19785.69370703338
11/2024,20243.106892716187
12/2024,19959.047114692698
01/2025,19918.201922724835
02/2025,20058.251381629958
03/2025,19697.425703933466
04/2025,20084.270341432013
05/2025,20107.415856258885
06/2025,20061.345745049024
07/2025,20015.61149392712
